'T','P'
288.15,101325
281.65,89874.5705
275.15,79495.2155
268.65,70108.5447
262.15,61640.2353
255.65,54019.9121
249.15,47181.0276
242.65,41060.7432
236.15,35599.8114
229.65,30742.4584
223.15,26436.2676
216.65,22632.064
216.65,19330.405
216.65,16510.4058
216.65,14101.7996
216.65,12044.5709
216.65,10287.4591
216.65,8786.6821
216.65,7504.8447
216.65,6410.0069
216.65,5474.8887
217.65,4677.8862
218.65,3999.7902
219.65,3422.4343
220.65,2930.4922
221.65,2511.0234
222.65,2153.0938
223.65,1847.4574
224.65,1586.2898
225.65,1362.9648
226.65,1171.8665
227.65,1008.232
228.65,868.0187
231.45,748.2282
234.25,646.1222
237.05,558.9235
239.85,484.3167
242.65,420.3671
245.45,365.4547
248.25,318.2205
251.05,277.5216
253.85,242.3955
256.65,212.0299
259.45,185.7378
262.25,162.9374
265.05,143.1348
267.85,125.9103
270.65,110.9063
270.65,97.7545
270.65,86.1623
270.65,75.9448
270.65,66.9389
267.85,58.9622
265.05,51.8668
262.25,45.5632
259.45,39.97
256.65,35.0137
253.85,30.6274
251.05,26.7509
248.25,23.3296
245.45,20.3143
242.65,17.6606
239.85,15.3287
237.05,13.2826
234.25,11.49
231.45,9.922
228.65,8.5527
225.85,7.359
223.05,6.3199
220.25,5.4172
217.45,4.6342
214.65,3.9564
212.65,3.3718
210.65,2.8692
208.65,2.4377
206.65,2.0679
204.65,1.7514
202.65,1.4809
200.65,1.2501
198.65,1.0535
196.65,0.8863
194.65,0.7443
192.65,0.6239
190.65,0.522
188.65,0.436
186.946,0.3634
186.946,0.3027
