1976 Standard Atmosphere Table

Altitude Temperature   Pressure   Density Speed of sound
   [m]      [Kelvin]    [pascal]  [kg/m3]      [m/s]
 
 0        288.15       101325     1.225   340.2941
 1000     281.65       89874.5705 1.1116  336.434
 2000     275.15       79495.2155 1.0065  332.5292
 3000     268.65       70108.5447 .9091   328.578
 4000     262.15       61640.2353 .8191   324.5787
 5000     255.65       54019.9121 .7361   320.5295
 6000     249.15       47181.0276 .6597   316.4284
 7000     242.65       41060.7432 .5895   312.2736
 8000     236.15       35599.8114 .5252   308.0626
 9000     229.65       30742.4584 .4663   303.7934
 10000    223.15       26436.2676 .4127   299.4632
 11000    216.65       22632.064  .3639   295.0696
 12000    216.65       19330.405  .3108   295.0696
 13000    216.65       16510.4058 .2655   295.0696
 14000    216.65       14101.7996 .2268   295.0696
 15000    216.65       12044.5709 .1937   295.0696
 16000    216.65       10287.4591 .1654   295.0696
 17000    216.65       8786.6821  .1413   295.0696
 18000    216.65       7504.8447  .1207   295.0696
 19000    216.65       6410.0069  .1031   295.0696
 20000    216.65       5474.8887  0.088   295.0696
 21000    217.65       4677.8862  0.0749  295.7498
 22000    218.65       3999.7902  0.0637  296.4284
 23000    219.65       3422.4343  0.0543  297.1055
 24000    220.65       2930.4922  0.0463  297.781
 25000    221.65       2511.0234  0.0395  298.455
 26000    222.65       2153.0938  0.0337  299.1275
 27000    223.65       1847.4574  0.0288  299.7985
 28000    224.65       1586.2898  0.0246  300.468
 29000    225.65       1362.9648  0.021   301.136
 30000    226.65       1171.8665  0.018   301.8026
 31000    227.65       1008.232   0.0154  302.4676
 32000    228.65       868.0187   0.0132  303.1312
 33000    231.45       748.2282   0.0113  304.9816
 34000    234.25       646.1222   0.0096  306.8208
 35000    237.05       558.9235   0.0082  308.6491
 36000    239.85       484.3167   0.007   310.4666
 37000    242.65       420.3671   0.006   312.2736
 38000    245.45       365.4547   0.0052  314.0701
 39000    248.25       318.2205   0.0045  315.8564
 40000    251.05       277.5216   0.0039  317.6327
 41000    253.85       242.3955   0.0033  319.3991
 42000    256.65       212.0299   0.0029  321.1557
 43000    259.45       185.7378   0.0025  322.9029
 44000    262.25       162.9374   0.0022  324.6406
 45000    265.05       143.1348   0.0019  326.369
 46000    267.85       125.9103   0.0016  328.0884
 47000    270.65       110.9063   0.0014  329.7988
 48000    270.65       97.7545    0.0013  329.7988
 49000    270.65       86.1623    0.0011  329.7988
 50000    270.65       75.9448    0.001   329.7988
 51000    270.65       66.9389    0.0009  329.7988
 52000    267.85       58.9622    0.0008  328.0884
 53000    265.05       51.8668    0.0007  326.369
 54000    262.25       45.5632    0.0006  324.6406
 55000    259.45       39.97      0.0005  322.9029
 56000    256.65       35.0137    0.0005  321.1557
 57000    253.85       30.6274    0.0004  319.3991
 58000    251.05       26.7509    0.0004  317.6327
 59000    248.25       23.3296    0.0003  315.8564
 60000    245.45       20.3143    0.0003  314.0701
 61000    242.65       17.6606    0.0003  312.2736
 62000    239.85       15.3287    0.0002  310.4666
 63000    237.05       13.2826    0.0002  308.6491
 64000    234.25       11.49      0.0002  306.8208
 65000    231.45       9.922      0.0001  304.9816
 66000    228.65       8.5527     0.0001  303.1312
 67000    225.85       7.359      0.0001  301.2695
 68000    223.05       6.3199     0.0001  299.3961
 69000    220.25       5.4172     0.0001  297.511
 70000    217.45       4.6342     0.0001  295.6138
 71000    214.65       3.9564     0.0001  293.7044
 72000    212.65       3.3718     0.0001  292.3329
 73000    210.65       2.8692     0       290.955
 74000    208.65       2.4377     0       289.5705
 75000    206.65       2.0679     0       288.1793
 76000    204.65       1.7514     0       286.7814
 77000    202.65       1.4809     0       285.3766
 78000    200.65       1.2501     0       283.9649
 79000    198.65       1.0535     0       282.5461
 80000    196.65       .8863      0       281.1202
 81000    194.65       .7443      0       279.687
 82000    192.65       .6239      0       278.2464
 83000    190.65       .522       0       276.7983
 84000    188.65       .436       0       275.3426
 85000    186.946      .3634      0       274.0963
 86000    186.946      .3027      0       274.0963
