T, P
.925E-01,246.3
.1078E+00,247.0
.1294E+00,249.3
.1551E+00,254.8
.1851E+00,259.7
.2199E+00,268.1
.2602E+00,272.0
.3073E+00,276.0
.3618E+00,281.3
.4247E+00,288.9
.4959E+00,299.4
.5760E+00,309.5
.6659E+00,319.8
.7665E+00,329.5
.8788E+00,338.7
.1004E+01,347.3
.1144E+01,355.3
.1299E+01,364.9
.1471E+01,371.8
.1662E+01,379.4
.1874E+01,384.4
.2109E+01,389.4
.2371E+01,394.8
.2661E+01,401.4
.2981E+01,407.9
.3334E+01,414.7
.3722E+01,421.6
.4147E+01,428.1
.4615E+01,435.1
.5125E+01,443.0
.5682E+01,450.3
.6289E+01,458.4
.6950E+01,466.3
.7666E+01,474.6
.8443E+01,482.9
.9283E+01,491.8
.1019E+02,500.5
.1117E+02,508.8
.1222E+02,517.1
.1336E+02,524.9
.1458E+02,533.7
.1589E+02,542.2
.1730E+02,550.5
.1880E+02,558.7
.2042E+02,567.0
.2214E+02,575.5
.2399E+02,583.7
.2596E+02,590.6
.2806E+02,598.7
.3031E+02,606.1
.3271E+02,613.9
.3526E+02,620.9
.3797E+02,627.8
.4086E+02,636.0
.4394E+02,642.6
.4720E+02,651.3
.5066E+02,658.5
.5432E+02,666.6
.5820E+02,673.9
.6231E+02,681.9
.6665E+02,690.1
.7123E+02,698.4
.7606E+02,706.3
.8115E+02,715.1
.8652E+02,722.7
.9216E+02,730.9
,
,
,
,
,
"p, bars","T, K"
,
.6407E-01,233.2
.7551E-01,236.1
.9130E-01,239.4
.1102E+01,242.8
.1328E+00,246.2
.1595E+00,249.4
.1912E+00,252.8
.2285E+00,257.6
.2722E+00,263.9
.3227E+00,271.1
.3806E+00,280.9
.4464E+00,291.3
.5203E+00,302.6
.6034E+00,313.9
.6963E+00,323.9
.8000E+00,334.4
.9156E+00,343.2
.1044E+01,351.7
.1188E+01,360.5
.1347E+01,366.8
.1525E+01,372.3
.1723E+01,377.9
.1943E+01,384.7
.2187E+01,390.7
.2457E+01,396.6
.2756E+01,402.9
.3086E+01,410.1
.3449E+01,417.2
.3847E+01,424.7
.4283E+01,432.3
.4760E+01,439.9
.5281E+01,448.1
.5849E+01,455.7
.6466E+01,463.6
.7136E+01,472.6
.7862E+01,480.7
.8647E+01,489.1
.9497E+01,497.6
.1041E+02,506.3
.1140E+02,514.6
.1246E+02,523.2
.1361E+02,532.1
.1483E+02,540.2
.1615E+02,548.4
.1756E+02,557.6
.1907E+02,566.5
.2069E+02,574.7
.2241E+02,582.5
.2425E+02,591.3
.2622E+02,599.0
.2832E+02,606.6
.3055E+02,613.8
.3293E+02,620.7
.3547E+02,627.9
.3817E+02,634.7
.4105E+02,641.9
.4410E+02,649.5
.4734E+02,656.3
.5078E+02,663.8
.5442E+02,671.0
.5828E+02,678.2
.6237E+02,686.0
.6669E+02,693.4
.7125E+02,701.0
.7606E+02,709.0
.8113E+02,717.0
.8648E+02,724.7
.9210E+02,732.4
.9268E+02,733.0
,
,
,
,
"p, bars","T, K"
,
.9046E-01,238.3
.9279E-01,238.5
.1121E+00,241.3
.1350E+00,245.9
.1621E+00,251.1
.1939E+00,257.7
.2310E+00,261.9
.2744E+00,267.5
.3245E+00,274.8
.3823E+00,281.6
.4482E+00,291.8
.5226E+00,301.7
.6065E+00,311.6
.7005E+00,332.1
.8054E+00,322.0
.9227E+00,340.2
.1054E+01,348.7
.1199E+01,357.8
.1361E+01,366.9
.1540E+01,373.4
.1739E+01,379.1
.1961E+01,386.1
.2206E+01,392.3
.2478E+01,398.6
.2778E+01,404.8
.3109E+01,410.9
.3474E+01,416.7
.3877E+01,422.2
.4319E+01,430.9
.4801E+01,438.8
.5327E+01,448.0
.5899E+01,456.2
.6521E+01,464.1
.7196E+01,473.1
.7927E+01,481.5
.8717E+01,490.2
.9571E+01,499.0
.1049E+02,507.6
.1149E+02,516.0
.1255E+02,524.9
.1370E+02,533.0
.1493E+02,541.6
.1626E+02,550.1
.1767E+02,558.5
.1919E+02,566.8
.2081E+02,574.6
.2255E+02,582.8
.2440E+02,591.0
.2638E+02,599.3
.2849E+02,607.4
.3073E+02,616.5
.3311E+02,624.0
.3565E+02,631.4
.3835E+02,639.6
.4121E+02,646.8
.4425E+02,654.1
.4748E+02,660.8
.5090E+02,668.8
.5452E+02,676.5
.5836E+02,682.9
.6242E+02,689.8
.6671E+02,697.0
.7125E+02,704.6
.7604E+02,711.6
.8109E+02,719.1
.8642E+02,726.3
.9203E+02,733.8
.9583E+02,738.5
,
,
,
,
"p, bars","T, K"
,
.1650E+00,234.0
.1739E+00,236.3
.2103E+00,243.1
.2528E+00,251.2
.3018E+00,262.4
.3580E+00,271.6
.4220E+00,282.2
.4946E+00,292.6
.5765E+00,303.2
.6685E+00,313.7
.7715E+00,323.7
.8865E+00,334.0
.1014E+01,344.1
.1157E+01,350.3
.1316E+01,358.8
.1494E+01,367.0
.1690E+01,375.0
.1907E+01,382.0
.2149E+01,387.6
.2417E+01,393.3
.2714E+01,400.2
.3041E+01,407.2
.3401E+01,414.5
.3797E+01,421.7
.4230E+01,429.3
.4705E+01,437.3
.5223E+01,445.3
.5787E+01,453.0
.6402E+01,461.1
.7070E+01,468.8
.7795E+01,476.8
.8581E+01,485.0
.9431E+01,493.1
.1035E+02,500.9
.1134E+02,509.4
.1241E+02,517.7
.1356E+02,526.6
.1480E+02,535.4
.1612E+02,543.5
.1755E+02,552.3
.1907E+02,560.7
.2070E+02,568.8
.2245E+02,577.0
.2431E+02,585.5
.2630E+02,593.5
.2842E+02,602.0
.3068E+02,610.7
.3308E+02,618.7
.3564E+02,626.7
.3836E+02,634.8
.4124E+02,643.5
.4430E+02,651.5
.4754E+02,659.4
.5097E+02,667.3
.5461E+02,675.2
.5845E+02,683.0
.6252E+02,690.8
.6681E+02,698.5
.7134E+02,706.2
.7612E+02,713.9
.8116E+02,721.5
.8647E+02,729.1
.8658E+02,729.3
,
,
,
,
"p, bars","T, K"
,
.5199E-06,190.2
.8255E-06,190.2
.1318E-05,190.2
.2075E-05,194.4
.3273E-05,196.3
.5171E-05,190.1
.8338E-05,183.0
.1362E-04,180.7
.2252E-04,174.1
.3773E-04,173.3
.6350E-04,168.9
.1078E-03,168.9
.1848E-03,167.1
.3168E-03,165.4
.5469E-03,165.2
.9402E-03,163.8
.1634E-02,164.7
.2757E-02,181.1
.4449E-02,195.8
.5577E-02,204.1
.6926E-02,212.4
.8553E-02,215.1
.1054E-01,216.9
.1296E-01,221.1
.1587E-01,227.3
.1934E-01,227.8
.2349E-01,233.5
.2850E-01,234.9
.3440E-01,243.5
.4166E-01,230.5
,
,
,
,
"p, bars","T, K"
,
.5046E-07,201.3
.7428E-07,241.2
.1038E-06,278.0
.1470E-06,187.9
.2542E-06,151.8
.4571E-06,152.9
.7732E-06,181.3
.1229E-05,195.3
.1913E-05,198.5
.3013E-05,192.2
.4823E-05,185.1
.7813E-05,182.0
.1275E-04,179.9
.2140E-04,163.9
.3757E-04,157.9
.6621E-04,160.1
.1143E-03,166.8
.1946E-03,171.8
.3271E-03,171.4
.5469E-03,177.9
.9156E-03,170.7
.1539E-02,178.1
.2522E-02,184.6
.4040E-02,198.3
.5052E-02,205.5
.6279E-02,209.4
.7788E-02,209.4
.9655E-02,211.5
.1193E-01,216.5
.1466E-01,222.3
.1795E-01,223.0
.2196E-01,225.3
.2674E-01,231.9
.3257E-01,219.3
,
,
,
,
"p, bars","T, K"
,
.6933E-07,209.0
.1235E-06,126.2
.2582E-06,118.9
.5291E-06,126.6
.1040E-05,138.2
.1851E-05,173.1
.3015E-05,190.2
.4788E-05,187.7
.7643E-05,187.2
.1247E-04,178.8
.2067E-04,178.6
.3383E-04,178.4
.5492E-04,185.0
.9039E-04,178.6
.1529E-03,163.4
.2678E-03,158.4
.4649E-03,166.9
.7932E-03,169.5
.1330E-02,181.3
.2141E-02,196.4
.3369E-02,202.3
.4201E-02,206.2
.5221E-02,209.7
.6458E-02,215.0
.7953E-02,219.2
.9752E-02,224.1
.1190E-01,229.7
.1447E-01,232.9
.1756E-01,233.5
.2132E-01,232.8
.2592E-01,231.3
.3152E-01,232.3
.3821E-01,235.3
.4650E-01,225.8
.5733E-01,205.6
.7108E-01,222.9
,
